reference;brand;group
22206E1.C3          ;FAG                 ;ROLAMENTO                     
22206E1.C3          ;FAG                 ;ROLAMENTO                     
22206E1K            ;FAG                 ;ROLAMENTO                     
22206E1K.C3         ;FAG                 ;ROLAMENTO                     
22207E              ;FAG                 ;ROLAMENTO                     
22207E.C3           ;FAG                 ;ROLAMENTO                     
22207E1             ;FAG                 ;ROLAMENTO                     
22207E1.C3          ;FAG                 ;ROLAMENTO                     
22207E1.C3          ;FAG                 ;ROLAMENTO                     
22207E1K            ;FAG                 ;ROLAMENTO                     
22207E1K.C3         ;FAG                 ;ROLAMENTO                     
22208E              ;FAG                 ;ROLAMENTO                     
22208E1             ;FAG                 ;ROLAMENTO                     
22208E1             ;FAG                 ;ROLAMENTO                     
22208E1.C3          ;FAG                 ;ROLAMENTO                     
22208E1.C3          ;FAG                 ;ROLAMENTO                     
22208E1.C3 #        ;FAG                 ;ROLAMENTO                     
22208E1K            ;FAG                 ;ROLAMENTO                     
22208E1K.C3         ;FAG                 ;ROLAMENTO                     
22209E1             ;FAG                 ;ROLAMENTO                     
22209E1.C3          ;FAG                 ;ROLAMENTO                     
22209E1.C3          ;FAG                 ;ROLAMENTO                     
22209E1K            ;FAG                 ;ROLAMENTO                     
22209E1K.C3         ;FAG                 ;ROLAMENTO                     
22209E1K.C3         ;FAG                 ;ROLAMENTO                     
22209EK.C3          ;FAG                 ;ROLAMENTO                     
2220K.M.C3          ;FAG                 ;ROLAMENTO                     
2220M               ;FAG                 ;ROLAMENTO                     
2220M.C3            ;FAG                 ;ROLAMENTO                     
22210E #            ;FAG                 ;ROLAMENTO                     
22210E1             ;FAG                 ;ROLAMENTO                     
22210E1.C3          ;FAG                 ;ROLAMENTO                     
22210E1.C3          ;FAG                 ;ROLAMENTO                     
22210E1K            ;FAG                 ;ROLAMENTO                     
22210E1K.C3         ;FAG                 ;ROLAMENTO                     
22210E1K.C3         ;FAG                 ;ROLAMENTO                     
22210E1K.C3 #       ;FAG                 ;ROLAMENTO                     
22211E              ;FAG                 ;ROLAMENTO                     
22211E.C3           ;FAG                 ;ROLAMENTO                     
22211E1             ;FAG                 ;ROLAMENTO                     
22211E1             ;FAG                 ;ROLAMENTO                     
22211E1 #           ;FAG                 ;ROLAMENTO                     
22211E1.C3          ;FAG                 ;ROLAMENTO                     
22211E1.C3          ;FAG                 ;ROLAMENTO                     
22211E1K            ;FAG                 ;ROLAMENTO                     
22211E1K.C3         ;FAG                 ;ROLAMENTO                     
22211E1K.C3         ;FAG                 ;ROLAMENTO                     
22211EK.C3          ;FAG                 ;ROLAMENTO                     
22212E1             ;FAG                 ;ROLAMENTO                     
22212E1.C3          ;FAG                 ;ROLAMENTO                     
22212E1.C3          ;FAG                 ;ROLAMENTO                     
22212E1K            ;FAG                 ;ROLAMENTO                     
22212E1K            ;FAG                 ;ROLAMENTO                     
22212E1K.C3         ;FAG                 ;ROLAMENTO                     
22212E1K.C3         ;FAG                 ;ROLAMENTO                     
22212EK             ;FAG                 ;ROLAMENTO                     
22212EK.C3          ;FAG                 ;ROLAMENTO                     
22213E1             ;FAG                 ;ROLAMENTO                     
22213E1.C3          ;FAG                 ;ROLAMENTO                     
22213E1.C3          ;FAG                 ;ROLAMENTO                     
22213E1.K.C3 **     ;FAG                 ;ROLAMENTO                     
22213E1K            ;FAG                 ;ROLAMENTO                     
22213E1K.C3         ;FAG                 ;ROLAMENTO                     
22213EK.C3          ;FAG                 ;ROLAMENTO                     
22214E1             ;FAG                 ;ROLAMENTO                     
22214E1.C3          ;FAG                 ;ROLAMENTO                     
22214E1.C3          ;FAG                 ;ROLAMENTO                     
22214E1A.M          ;FAG                 ;ROLAMENTO                     
22214E1K.C3         ;FAG                 ;ROLAMENTO                     
22215E.C3           ;FAG                 ;ROLAMENTO                     
22215E1             ;FAG                 ;ROLAMENTO                     
22215E1.C3          ;FAG                 ;ROLAMENTO                     
22215E1K            ;FAG                 ;ROLAMENTO                     
22215E1K.C3         ;FAG                 ;ROLAMENTO                     
22215E1K.C3         ;FAG                 ;ROLAMENTO                     
22215E1K.C3 #       ;FAG                 ;ROLAMENTO                     
22215EK.C3          ;FAG                 ;ROLAMENTO                     
22216E.C3           ;FAG                 ;ROLAMENTO                     
22216E1             ;FAG                 ;ROLAMENTO                     
22216E1.C3          ;FAG                 ;ROLAMENTO                     
22216E1K            ;FAG                 ;ROLAMENTO                     
22216E1K.C3         ;FAG                 ;ROLAMENTO                     
22216EK.C3          ;FAG                 ;ROLAMENTO                     
22217E.C3           ;FAG                 ;ROLAMENTO                     
22217E1             ;FAG                 ;ROLAMENTO                     
22217E1.C3          ;FAG                 ;ROLAMENTO                     
22217E1.C3          ;FAG                 ;ROLAMENTO                     
22217E1K            ;FAG                 ;ROLAMENTO                     
22217E1K            ;FAG                 ;ROLAMENTO                     
22217E1K #          ;FAG                 ;ROLAMENTO                     
22217E1K.C3         ;FAG                 ;ROLAMENTO                     
22217E1K.C3         ;FAG                 ;ROLAMENTO                     
22217E1K.C4         ;FAG                 ;ROLAMENTO                     
22217EK             ;FAG                 ;ROLAMENTO                     
22218E1             ;FAG                 ;ROLAMENTO                     
22218E1.C3          ;FAG                 ;ROLAMENTO                     
22218E1.C3          ;FAG                 ;ROLAMENTO                     
22218E1.C3 #        ;FAG                 ;ROLAMENTO                     
22218E1K            ;FAG                 ;ROLAMENTO                     
22218E1K.C3         ;FAG                 ;ROLAMENTO                     
22218E1K.C3         ;FAG                 ;ROLAMENTO                     
22219E1             ;FAG                 ;ROLAMENTO                     
22219E1.C3          ;FAG                 ;ROLAMENTO                     
22219E1K            ;FAG                 ;ROLAMENTO                     
22219E1K.C3         ;FAG                 ;ROLAMENTO                     
22219E1K.C3         ;FAG                 ;ROLAMENTO                     
22220E1             ;FAG                 ;ROLAMENTO                     
22220E1.C3          ;FAG                 ;ROLAMENTO                     
22220E1.C3 #        ;FAG                 ;ROLAMENTO                     
22220E1A.M.C3       ;FAG                 ;ROLAMENTO                     
22220E1K            ;FAG                 ;ROLAMENTO                     
22220E1K.C3         ;FAG                 ;ROLAMENTO                     
22220E1K.C3         ;FAG                 ;ROLAMENTO                     
22220E1K.C4         ;FAG                 ;ROLAMENTO                     
22220EK.C3          ;FAG                 ;ROLAMENTO                     
22222E1             ;FAG                 ;ROLAMENTO                     
22222E1.C3          ;FAG                 ;ROLAMENTO                     
22222E1.C3          ;FAG                 ;ROLAMENTO                     
22222E1K            ;FAG                 ;ROLAMENTO                     
22222E1K.C3         ;FAG                 ;ROLAMENTO                     
22222E1K.C3         ;FAG                 ;ROLAMENTO                     
22222E1K.C4         ;FAG                 ;ROLAMENTO                     
22224E1             ;FAG                 ;ROLAMENTO                     
22224E1.C3          ;FAG                 ;ROLAMENTO                     
22224E1.C3          ;FAG                 ;ROLAMENTO                     
22224E1.C4          ;FAG                 ;ROLAMENTO                     
22224E1A.M.C3       ;FAG                 ;ROLAMENTO                     
22224E1K            ;FAG                 ;ROLAMENTO                     
22224E1K #          ;FAG                 ;ROLAMENTO                     
22224E1K.C3         ;FAG                 ;ROLAMENTO                     
22224EK.C3          ;FAG                 ;ROLAMENTO                     
